bookID,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres,main_author
1,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,27591,2006-09-16,Scholastic Inc.,"Fantasy;Young Adult;Fiction;Fantasy,Magic;Childrens;Adventure;Audiobook;Childrens,Middle Grade;Classics;Science Fiction Fantasy",J.K. Rowling
2,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,29221,2004-09-01,Scholastic Inc.,"Fantasy;Young Adult;Fiction;Fantasy,Magic;Childrens;Adventure;Audiobook;Childrens,Middle Grade;Classics;Science Fiction Fantasy",J.K. Rowling
4,Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,4.42,eng,352,6333,244,2003-11-01,Scholastic Inc.,"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Childrens,Middle Grade;Audiobook;Adventure;Classics;Science Fiction Fantasy",J.K. Rowling
5,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,36325,2004-05-01,Scholastic Inc.,"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Childrens,Middle Grade;Adventure;Audiobook;Classics;Science Fiction Fantasy",J.K. Rowling
8,Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,41428,164,2004-09-13,Scholastic Inc.,"Fantasy;Young Adult;Fiction;Fantasy,Magic;Adventure;Fantasy,Supernatural;Mystery;Childrens;Fantasy,Paranormal;Childrens,Middle Grade",J.K. Rowling
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,1,2005-04-26,Nimble Books,Fiction,W. Frederick Zimmerman
10,Harry Potter Collection (Harry Potter #1-6),J.K. Rowling,4.73,eng,3342,28242,808,2005-09-12,Scholastic Inc.,"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Classics;Adventure;Science Fiction Fantasy;Novels;Paranormal,Wizards",J.K. Rowling
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,eng,815,3628,254,2005-11-01,Gramercy Books,"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature",Douglas Adams
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,eng,815,249558,4080,2002-04-30,Del Rey Books,"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature",Douglas Adams
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.22,eng,215,4930,460,2004-08-03,Crown,"Science Fiction;Fiction;Humor;Classics;Fantasy;Humor,Comedy;Science Fiction Fantasy;Audiobook;Adventure;Novels",Douglas Adams
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,253,2005-03-23,Random House Audio,"Science Fiction;Fiction;Humor;Classics;Fantasy;Humor,Comedy;Science Fiction Fantasy;Audiobook;Adventure;Novels",Douglas Adams
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,eng,815,2877,195,1996-01-17,Wings Books,"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature",Douglas Adams
